,DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS,weekday,type
29,2019-09-17,3,0,115,18,7,1,0,59,Tuesday,organic
30,2019-09-18,3,0,128,14,7,1,0,62,Wednesday,paid
31,2019-09-19,5,0,149,18,8,1,0,67,Thursday,organic
32,2019-09-20,4,0,151,17,7,1,0,71,Friday,paid
33,2019-09-21,4,0,228,27,13,1,1,75,Saturday,paid
34,2019-09-22,5,0,208,30,12,2,1,80,Sunday,organic
35,2019-09-23,4,0,155,19,8,2,0,84,Monday,paid
36,2019-09-24,4,0,127,20,8,1,0,88,Tuesday,paid
37,2019-09-25,3,0,170,20,10,2,1,91,Wednesday,paid
38,2019-09-26,4,1,196,23,9,2,1,94,Thursday,organic
39,2019-09-27,5,1,149,22,9,2,1,98,Friday,organic
40,2019-09-28,5,1,254,34,15,1,1,102,Saturday,organic
41,2019-09-29,5,1,285,30,16,2,1,106,Sunday,paid
42,2019-09-30,5,1,212,22,9,2,0,110,Monday,paid
43,2019-10-01,5,1,184,26,10,2,1,114,Tuesday,paid
44,2019-10-02,4,1,183,24,14,2,1,117,Wednesday,organic
45,2019-10-03,5,1,161,26,11,2,1,121,Thursday,paid
46,2019-10-04,5,1,208,30,12,2,1,125,Friday,paid
47,2019-10-05,6,1,380,43,18,2,1,130,Saturday,organic
48,2019-10-06,6,1,331,40,18,2,1,135,Sunday,organic
49,2019-10-07,5,1,218,26,14,2,1,139,Monday,organic
50,2019-10-08,6,1,230,20,14,2,0,144,Tuesday,organic
51,2019-10-09,6,1,227,28,13,2,1,149,Wednesday,paid
52,2019-10-10,6,1,213,28,12,3,1,154,Thursday,organic
53,2019-10-11,7,1,256,30,16,2,1,160,Friday,organic
54,2019-10-12,7,1,369,43,21,3,1,166,Saturday,paid
55,2019-10-13,7,1,368,43,25,3,1,172,Sunday,paid
56,2019-10-14,6,1,226,25,11,2,1,177,Monday,paid
57,2019-10-15,6,1,288,28,15,2,1,182,Tuesday,paid
58,2019-10-16,7,1,276,33,18,3,1,188,Wednesday,organic
59,2019-10-17,8,1,249,38,15,3,1,195,Thursday,organic
60,2019-10-18,7,1,295,33,15,3,1,201,Friday,organic
61,2019-10-19,7,1,389,51,24,3,1,207,Saturday,organic
62,2019-10-20,6,1,385,55,22,3,1,212,Sunday,organic
63,2019-10-21,6,1,261,32,16,3,1,217,Monday,organic
64,2019-10-22,8,1,237,36,16,3,1,224,Tuesday,paid
65,2019-10-23,9,1,306,33,16,3,1,232,Wednesday,paid
66,2019-10-24,8,1,242,39,19,3,1,239,Thursday,paid
67,2019-10-25,9,1,265,37,18,4,2,247,Friday,organic
68,2019-10-26,8,1,365,57,27,3,1,254,Saturday,organic
69,2019-10-27,7,2,464,52,30,3,1,259,Sunday,organic
70,2019-10-28,8,1,312,41,18,3,2,266,Monday,paid
71,2019-10-29,9,1,311,47,17,3,1,274,Tuesday,paid
72,2019-10-30,8,1,293,35,18,4,1,281,Wednesday,paid
73,2019-10-31,10,2,293,38,19,4,1,289,Thursday,organic
74,2019-11-01,6,2,352,41,17,3,2,293,Friday,paid
75,2019-11-02,9,1,485,66,28,4,2,301,Saturday,organic
76,2019-11-03,9,2,537,58,28,4,2,308,Sunday,paid
77,2019-11-04,8,1,321,30,25,3,1,315,Monday,organic
78,2019-11-05,9,2,365,48,15,4,2,322,Tuesday,organic
79,2019-11-06,7,2,411,46,20,3,2,327,Wednesday,organic
80,2019-11-07,9,1,390,36,25,4,2,335,Thursday,organic
81,2019-11-08,10,2,359,41,22,4,2,343,Friday,paid
82,2019-11-09,11,2,584,78,34,4,2,352,Saturday,paid
83,2019-11-10,9,2,564,78,33,4,2,359,Sunday,paid
84,2019-11-11,9,2,390,50,21,4,2,366,Monday,organic
85,2019-11-12,9,2,383,45,17,5,2,373,Tuesday,organic
86,2019-11-13,11,2,395,47,23,5,2,382,Wednesday,organic
87,2019-11-14,10,2,416,47,21,4,2,390,Thursday,organic
88,2019-11-15,9,2,372,53,21,4,2,397,Friday,organic
89,2019-11-16,11,2,564,66,33,5,2,406,Saturday,paid
90,2019-11-17,10,2,549,67,42,4,2,414,Sunday,paid
91,2019-11-18,11,2,362,55,30,4,2,423,Monday,organic
92,2019-11-19,10,2,384,50,25,5,2,431,Tuesday,organic
93,2019-11-20,10,2,450,58,23,5,2,439,Wednesday,paid
94,2019-11-21,10,2,409,48,22,5,2,447,Thursday,organic
95,2019-11-22,9,2,478,51,26,4,1,454,Friday,organic
96,2019-11-23,11,2,694,70,45,5,3,463,Saturday,paid
97,2019-11-24,11,2,562,79,37,4,3,472,Sunday,organic
98,2019-11-25,11,2,504,45,20,5,2,481,Monday,paid
99,2019-11-26,11,2,518,51,28,4,2,490,Tuesday,organic
100,2019-11-27,10,3,438,47,29,4,2,497,Wednesday,organic
101,2019-11-28,11,2,513,59,22,4,2,506,Thursday,organic
102,2019-11-29,11,3,456,59,27,6,2,514,Friday,organic
103,2019-11-30,11,3,765,69,43,5,2,522,Saturday,organic
104,2019-12-01,11,2,671,96,40,5,2,531,Sunday,paid
105,2019-12-02,12,2,425,71,26,5,2,541,Monday,paid
106,2019-12-03,14,2,504,58,31,5,2,553,Tuesday,organic
107,2019-12-04,12,3,525,54,27,5,2,562,Wednesday,paid
108,2019-12-05,12,3,517,75,24,5,2,571,Thursday,paid
109,2019-12-06,12,3,480,51,23,5,2,580,Friday,organic
110,2019-12-07,10,2,794,90,49,6,2,588,Saturday,organic
111,2019-12-08,12,2,860,91,46,5,3,598,Sunday,organic
112,2019-12-09,13,2,562,69,30,7,2,609,Monday,paid
113,2019-12-10,16,2,583,64,29,6,3,623,Tuesday,organic
114,2019-12-11,12,3,540,59,29,6,3,632,Wednesday,organic
115,2019-12-12,13,3,655,56,27,6,3,642,Thursday,paid
116,2019-12-13,13,2,524,61,29,7,3,653,Friday,paid
117,2019-12-14,11,3,945,85,36,6,3,661,Saturday,organic
118,2019-12-15,15,3,1020,96,43,6,3,673,Sunday,organic
119,2019-12-16,14,3,644,61,31,6,3,684,Monday,paid
120,2019-12-17,14,3,610,55,34,6,3,695,Tuesday,paid
121,2019-12-18,12,3,597,74,32,6,3,704,Wednesday,paid
122,2019-12-19,16,3,703,63,35,6,3,717,Thursday,paid
123,2019-12-20,12,3,553,58,37,6,3,726,Friday,paid
124,2019-12-21,15,3,883,99,54,7,3,738,Saturday,paid
125,2019-12-22,17,3,950,102,52,7,3,752,Sunday,paid
126,2019-12-23,13,2,750,56,34,6,2,763,Monday,paid
127,2019-12-24,13,3,700,71,30,5,3,773,Tuesday,organic
128,2019-12-25,14,3,615,62,37,6,3,784,Wednesday,paid
129,2019-12-26,14,3,668,82,40,7,3,795,Thursday,paid
130,2019-12-27,12,3,654,74,36,8,3,804,Friday,paid
131,2019-12-28,15,3,983,102,63,6,3,816,Saturday,organic
132,2019-12-29,13,3,1174,99,45,6,3,826,Sunday,organic
133,2019-12-30,15,3,621,71,31,6,3,838,Monday,organic
134,2019-12-31,13,3,846,77,39,8,3,848,Tuesday,organic
135,2020-01-01,17,3,798,73,37,7,4,862,Wednesday,paid
136,2020-01-02,14,3,825,72,41,6,3,873,Thursday,organic
137,2020-01-03,15,4,717,75,36,7,3,884,Friday,organic
138,2020-01-04,17,3,1124,105,49,7,4,898,Saturday,organic
139,2020-01-05,13,3,988,109,54,6,4,908,Sunday,paid
140,2020-01-06,16,4,736,60,31,6,4,920,Monday,paid
141,2020-01-07,18,3,823,84,33,8,3,935,Tuesday,paid
142,2020-01-08,13,3,896,79,42,7,3,945,Wednesday,paid
143,2020-01-09,16,3,713,72,41,7,4,958,Thursday,organic
144,2020-01-10,16,3,780,93,40,7,4,971,Friday,organic
145,2020-01-11,17,3,1208,118,48,8,4,985,Saturday,organic
146,2020-01-12,14,3,1066,106,55,8,4,996,Sunday,paid
147,2020-01-13,14,3,883,87,34,8,3,1007,Monday,organic
148,2020-01-14,17,3,782,83,44,8,4,1021,Tuesday,paid
149,2020-01-15,17,3,833,84,37,8,3,1035,Wednesday,paid
150,2020-01-16,17,4,820,78,36,8,4,1048,Thursday,organic
151,2020-01-17,17,4,799,86,40,7,3,1061,Friday,organic
152,2020-01-18,16,3,1313,120,57,7,3,1074,Saturday,paid
153,2020-01-19,17,4,1298,132,70,6,3,1087,Sunday,paid
154,2020-01-20,18,4,859,67,38,9,3,1101,Monday,paid
155,2020-01-21,16,3,835,80,35,9,3,1114,Tuesday,organic
156,2020-01-22,21,3,939,99,33,7,3,1132,Wednesday,organic
157,2020-01-23,18,3,1070,79,42,8,3,1147,Thursday,organic
158,2020-01-24,15,3,940,80,40,7,3,1159,Friday,paid
159,2020-01-25,19,4,1544,123,54,9,5,1174,Saturday,paid
160,2020-01-26,16,4,1218,114,72,7,4,1186,Sunday,organic
161,2020-01-27,19,4,968,68,46,8,4,1201,Monday,paid
162,2020-01-28,20,3,856,86,43,8,4,1218,Tuesday,organic
163,2020-01-29,16,4,827,90,49,9,5,1230,Wednesday,paid
164,2020-01-30,20,3,906,88,47,8,3,1247,Thursday,paid
165,2020-01-31,19,4,1105,88,40,7,3,1262,Friday,paid
166,2020-02-01,20,4,1636,135,60,8,4,1278,Saturday,paid
167,2020-02-02,22,5,1542,150,72,8,4,1295,Sunday,organic
168,2020-02-03,18,3,857,89,47,9,4,1310,Monday,paid
169,2020-02-04,17,3,1001,86,46,10,4,1324,Tuesday,organic
170,2020-02-05,17,4,1061,89,41,7,4,1337,Wednesday,organic
171,2020-02-06,17,5,1057,98,48,8,4,1349,Thursday,paid
172,2020-02-07,19,5,854,106,42,8,4,1363,Friday,organic
173,2020-02-08,20,4,1443,132,69,8,3,1379,Saturday,organic
174,2020-02-09,20,4,1587,142,79,10,4,1395,Sunday,paid
175,2020-02-10,21,5,1131,98,44,9,4,1411,Monday,organic
176,2020-02-11,19,4,843,86,39,9,4,1426,Tuesday,organic
177,2020-02-12,22,5,1073,96,42,8,4,1443,Wednesday,paid
178,2020-02-13,19,5,1114,82,52,9,4,1457,Thursday,paid
179,2020-02-14,25,5,1202,80,49,10,4,1477,Friday,organic
180,2020-02-15,21,6,1790,151,70,8,4,1492,Saturday,paid
181,2020-02-16,18,5,1785,141,69,10,4,1505,Sunday,organic
182,2020-02-17,18,4,1042,101,51,9,4,1519,Monday,organic
183,2020-02-18,21,4,924,99,45,10,4,1536,Tuesday,paid
184,2020-02-19,20,4,1105,90,51,9,4,1552,Wednesday,paid
185,2020-02-20,22,4,1274,100,46,10,4,1570,Thursday,paid
186,2020-02-21,21,4,1330,88,45,9,5,1587,Friday,organic
187,2020-02-22,20,4,1888,172,70,9,5,1603,Saturday,paid
188,2020-02-23,19,5,1851,132,72,10,5,1617,Sunday,organic
189,2020-02-24,18,4,1238,100,50,10,4,1631,Monday,organic
190,2020-02-25,20,5,1134,92,52,8,5,1646,Tuesday,paid
191,2020-02-26,23,5,1193,109,32,11,5,1664,Wednesday,paid
192,2020-02-27,22,5,1420,100,47,8,5,1681,Thursday,paid
193,2020-02-28,19,5,1109,99,50,9,6,1695,Friday,paid
194,2020-02-29,22,5,2149,171,90,10,5,1712,Saturday,paid
195,2020-03-01,22,5,1803,159,69,10,5,1729,Sunday,paid
196,2020-03-02,20,4,1416,112,53,12,5,1745,Monday,paid
197,2020-03-03,22,4,1081,96,61,8,5,1763,Tuesday,organic
198,2020-03-04,22,5,1340,92,46,10,4,1780,Wednesday,paid
199,2020-03-05,19,4,1180,109,55,8,5,1795,Thursday,organic
200,2020-03-06,23,4,1100,105,49,10,5,1814,Friday,organic
201,2020-03-07,23,5,1977,174,76,11,5,1832,Saturday,organic
202,2020-03-08,25,5,2145,162,75,12,5,1852,Sunday,paid
203,2020-03-09,25,5,1196,112,50,11,6,1872,Monday,paid
204,2020-03-10,19,5,1116,92,69,12,4,1886,Tuesday,paid
205,2020-03-11,20,5,1310,132,59,11,4,1901,Wednesday,paid
206,2020-03-12,24,5,1318,110,61,10,5,1920,Thursday,organic
207,2020-03-13,24,5,1411,120,58,9,5,1939,Friday,paid
208,2020-03-14,24,5,2210,154,70,11,7,1958,Saturday,organic
209,2020-03-15,32,5,2017,175,87,9,5,1985,Sunday,organic
210,2020-03-16,24,5,1613,99,62,12,5,2004,Monday,paid
211,2020-03-17,26,4,1398,119,52,11,5,2026,Tuesday,paid
212,2020-03-18,26,5,1327,111,62,12,5,2047,Wednesday,organic
213,2020-03-19,25,6,1160,116,61,10,5,2066,Thursday,paid
214,2020-03-20,23,6,1353,124,68,11,5,2083,Friday,organic
215,2020-03-21,25,6,2025,153,82,11,5,2102,Saturday,paid
216,2020-03-22,22,6,2308,163,76,11,5,2118,Sunday,organic
217,2020-03-23,23,5,1476,123,56,11,6,2136,Monday,organic
218,2020-03-24,23,5,1250,143,67,12,6,2154,Tuesday,paid
219,2020-03-25,24,5,1450,117,48,10,6,2173,Wednesday,paid
220,2020-03-26,30,5,1528,126,47,10,5,2198,Thursday,paid
221,2020-03-27,20,6,1659,118,60,13,6,2212,Friday,organic
222,2020-03-28,26,6,2362,216,85,12,6,2232,Saturday,paid
223,2020-03-29,20,5,2344,148,90,12,6,2247,Sunday,paid
224,2020-03-30,23,5,1468,122,66,14,6,2265,Monday,paid
225,2020-03-31,27,6,1522,102,57,11,6,2286,Tuesday,organic
226,2020-04-01,25,6,1657,92,49,13,6,2305,Wednesday,organic
227,2020-04-02,22,5,1281,126,73,12,6,2322,Thursday,organic
228,2020-04-03,23,4,1433,125,55,11,5,2341,Friday,paid
229,2020-04-04,27,5,2064,180,82,14,6,2363,Saturday,paid
230,2020-04-05,23,5,2331,184,102,13,7,2381,Sunday,organic
231,2020-04-06,26,5,1689,164,59,12,5,2402,Monday,paid
232,2020-04-07,26,6,1419,122,62,13,5,2422,Tuesday,paid
233,2020-04-08,24,5,1153,133,65,12,6,2441,Wednesday,paid
234,2020-04-09,31,7,1459,118,69,13,6,2465,Thursday,paid
235,2020-04-10,27,6,1667,131,61,9,6,2486,Friday,paid
236,2020-04-11,20,6,2424,187,109,11,6,2500,Saturday,paid
237,2020-04-12,26,6,2408,184,75,14,7,2520,Sunday,paid
238,2020-04-13,24,5,1502,152,69,12,5,2539,Monday,organic
239,2020-04-14,28,7,1351,145,59,13,7,2560,Tuesday,paid
240,2020-04-15,24,6,1636,132,73,11,5,2578,Wednesday,paid
241,2020-04-16,26,6,1431,100,65,15,5,2598,Thursday,paid
242,2020-04-17,28,5,1908,126,60,14,6,2621,Friday,organic
243,2020-04-18,29,5,2491,250,103,12,6,2645,Saturday,paid
244,2020-04-19,23,7,2227,193,106,12,5,2661,Sunday,paid
245,2020-04-20,26,6,1484,147,70,14,5,2681,Monday,paid
246,2020-04-21,26,6,1572,152,59,15,6,2701,Tuesday,paid
247,2020-04-22,25,6,1553,137,63,14,7,2720,Wednesday,organic
248,2020-04-23,32,7,1774,123,66,16,7,2745,Thursday,paid
249,2020-04-24,28,5,1630,102,66,12,6,2768,Friday,organic
250,2020-04-25,24,7,2231,216,108,12,7,2785,Saturday,paid
251,2020-04-26,30,6,2872,187,81,11,6,2809,Sunday,paid
252,2020-04-27,34,7,1622,139,70,14,5,2836,Monday,paid
253,2020-04-28,31,6,1742,120,66,13,5,2861,Tuesday,paid
254,2020-04-29,23,7,1523,134,62,13,6,2877,Wednesday,paid
255,2020-04-30,26,6,1686,138,63,14,6,2897,Thursday,organic
256,2020-05-01,32,6,1681,142,67,15,7,2923,Friday,paid
257,2020-05-02,26,6,1989,184,66,11,7,2943,Saturday,organic
258,2020-05-03,29,6,2954,234,96,13,7,2966,Sunday,paid
259,2020-05-04,31,7,1854,132,63,15,6,2990,Monday,paid
260,2020-05-05,26,6,1580,117,73,13,6,3010,Tuesday,organic
261,2020-05-06,28,6,1468,140,64,12,7,3032,Wednesday,paid
262,2020-05-07,19,6,1711,142,69,15,7,3045,Thursday,organic
263,2020-05-08,26,5,1671,145,81,12,5,3066,Friday,organic
264,2020-05-09,28,6,2578,243,117,13,6,3088,Saturday,organic
265,2020-05-10,25,8,2542,210,115,14,6,3105,Sunday,paid
266,2020-05-11,34,7,1750,142,68,13,7,3132,Monday,paid
267,2020-05-12,25,7,1911,128,75,15,6,3150,Tuesday,paid
268,2020-05-13,28,7,1767,157,70,13,7,3171,Wednesday,organic
269,2020-05-14,30,7,1499,148,71,16,7,3194,Thursday,organic
270,2020-05-15,34,7,1906,140,75,14,7,3221,Friday,paid
271,2020-05-16,25,6,2934,178,102,15,6,3240,Saturday,paid
272,2020-05-17,33,8,3320,252,126,15,6,3265,Sunday,organic
273,2020-05-18,30,7,1496,129,72,13,6,3288,Monday,organic
274,2020-05-19,27,7,1729,139,78,11,7,3308,Tuesday,organic
275,2020-05-20,31,7,1338,154,84,15,7,3332,Wednesday,paid
276,2020-05-21,31,7,1787,131,82,14,6,3356,Thursday,paid
277,2020-05-22,28,7,1602,127,64,15,8,3377,Friday,organic
278,2020-05-23,31,7,3036,177,117,14,7,3401,Saturday,paid
279,2020-05-24,29,7,2351,243,121,14,8,3423,Sunday,organic
280,2020-05-25,31,7,1413,143,82,18,7,3447,Monday,paid
281,2020-05-26,33,7,1622,197,67,12,6,3473,Tuesday,organic
282,2020-05-27,36,8,1367,137,71,16,7,3501,Wednesday,organic
283,2020-05-28,27,6,1834,139,83,14,7,3522,Thursday,organic
284,2020-05-29,38,6,1355,145,70,14,7,3554,Friday,organic
285,2020-05-30,25,7,2571,237,111,14,7,3572,Saturday,organic
286,2020-05-31,31,7,2032,220,133,14,7,3596,Sunday,paid
287,2020-06-01,33,7,1656,165,77,16,7,3622,Monday,paid
288,2020-06-02,32,7,1994,140,72,17,7,3647,Tuesday,organic
289,2020-06-03,30,7,1775,135,71,16,8,3670,Wednesday,organic
290,2020-06-04,31,8,1566,128,80,15,7,3693,Thursday,paid
291,2020-06-05,30,6,1711,122,68,14,8,3717,Friday,organic
292,2020-06-06,30,7,2581,225,114,16,7,3740,Saturday,paid
293,2020-06-07,35,7,2698,231,121,19,7,3768,Sunday,organic
294,2020-06-08,33,6,1484,149,89,15,7,3795,Monday,organic
295,2020-06-09,30,7,1821,179,84,15,7,3818,Tuesday,organic
296,2020-06-10,35,9,1254,180,74,15,5,3844,Wednesday,organic
297,2020-06-11,33,8,1612,155,89,15,7,3869,Thursday,paid
298,2020-06-12,35,8,8185,132,385,55,35,3896,Friday,paid
299,2020-06-13,35,7,2746,228,105,16,8,3924,Saturday,paid
300,2020-06-14,30,7,2590,228,118,14,7,3947,Sunday,paid
301,2020-06-15,31,7,1480,152,92,13,8,3971,Monday,organic
302,2020-06-16,35,7,1553,152,82,17,6,3999,Tuesday,organic
303,2020-06-17,35,9,1757,153,81,14,8,4025,Wednesday,organic
304,2020-06-18,33,8,1710,158,95,15,6,4050,Thursday,organic
305,2020-06-19,34,7,1623,154,70,18,7,4077,Friday,organic
306,2020-06-20,38,8,2461,253,106,14,8,4107,Saturday,paid
307,2020-06-21,31,8,2765,258,103,14,9,4130,Sunday,paid
308,2020-06-22,35,9,1634,151,86,17,8,4156,Monday,paid
309,2020-06-23,33,9,1708,188,84,18,8,4180,Tuesday,paid
310,2020-06-24,33,7,2097,151,96,14,8,4206,Wednesday,organic
311,2020-06-25,38,7,1477,141,85,17,7,4237,Thursday,organic
312,2020-06-26,37,7,1403,175,80,17,7,4267,Friday,paid
313,2020-06-27,37,8,2785,232,126,13,8,4296,Saturday,organic
314,2020-06-28,39,8,2407,262,127,18,7,4327,Sunday,organic
315,2020-06-29,34,9,1666,129,70,18,8,4352,Monday,organic
316,2020-06-30,37,8,1586,195,108,16,8,4381,Tuesday,organic
317,2020-07-01,33,8,1675,183,89,19,9,4406,Wednesday,paid
318,2020-07-02,36,8,1995,146,87,19,9,4434,Thursday,paid
319,2020-07-03,34,7,1857,147,91,17,7,4461,Friday,paid
320,2020-07-04,35,10,2800,303,138,16,8,4486,Saturday,organic
321,2020-07-05,37,7,2212,241,127,15,7,4516,Sunday,organic
322,2020-07-06,32,8,1520,159,81,17,7,4540,Monday,paid
323,2020-07-07,43,10,1229,135,92,18,7,4573,Tuesday,organic
324,2020-07-08,32,8,1576,169,90,16,10,4597,Wednesday,organic
325,2020-07-09,31,8,1879,172,80,13,9,4620,Thursday,organic
326,2020-07-10,40,8,1802,189,100,19,10,4652,Friday,paid
327,2020-07-11,38,8,2513,228,135,17,9,4682,Saturday,paid
328,2020-07-12,38,10,12819,225,705,85,40,4710,Sunday,paid
329,2020-07-13,38,6,1593,186,101,19,8,4742,Monday,organic
330,2020-07-14,36,10,1746,196,89,20,9,4768,Tuesday,organic
331,2020-07-15,33,7,1841,151,92,12,9,4794,Wednesday,organic
332,2020-07-16,36,8,1433,199,96,18,8,4822,Thursday,organic
333,2020-07-17,34,8,1760,181,83,15,7,4848,Friday,paid
334,2020-07-18,40,9,2800,300,135,18,11,4879,Saturday,organic
335,2020-07-19,36,7,2453,270,136,18,8,4908,Sunday,paid
336,2020-07-20,34,9,1826,136,81,19,8,4933,Monday,organic
337,2020-07-21,35,10,2184,179,111,17,9,4958,Tuesday,paid
338,2020-07-22,38,7,1686,202,78,14,8,4989,Wednesday,organic
339,2020-07-23,35,9,1769,167,79,17,9,5015,Thursday,organic
340,2020-07-24,34,8,1577,177,103,19,10,5041,Friday,paid
341,2020-07-25,38,9,2598,271,147,20,9,5070,Saturday,paid
342,2020-07-26,38,9,2669,196,123,16,8,5099,Sunday,organic
343,2020-07-27,35,8,1733,216,98,20,9,5126,Monday,organic
344,2020-07-28,36,9,1525,169,106,17,8,5153,Tuesday,paid
345,2020-07-29,38,10,1733,196,92,19,10,5181,Wednesday,paid
346,2020-07-30,32,9,1945,185,117,17,10,5204,Thursday,paid
347,2020-07-31,32,10,1772,211,77,19,9,5226,Friday,organic
348,2020-08-01,35,8,2788,294,150,20,8,5253,Saturday,organic
349,2020-08-02,37,8,2481,276,157,16,8,5282,Sunday,organic
350,2020-08-03,39,9,1821,172,102,17,9,5312,Monday,paid
351,2020-08-04,44,10,1740,205,92,19,9,5346,Tuesday,organic
352,2020-08-05,42,9,1531,154,92,23,9,5379,Wednesday,paid
353,2020-08-06,38,9,1745,203,99,17,9,5408,Thursday,paid
354,2020-08-07,38,9,1523,170,103,22,8,5437,Friday,paid
355,2020-08-08,35,8,2376,324,151,22,9,5464,Saturday,organic
356,2020-08-09,39,10,2583,292,157,19,7,5493,Sunday,organic
357,2020-08-10,38,10,1740,205,86,18,8,5521,Monday,paid
358,2020-08-11,40,9,1488,195,94,17,9,5552,Tuesday,organic
359,2020-08-12,36,9,1867,160,87,19,10,5579,Wednesday,organic
360,2020-08-13,41,9,1785,178,93,16,8,5611,Thursday,organic
361,2020-08-14,45,9,1569,208,107,19,9,5647,Friday,paid
362,2020-08-15,39,9,2143,298,147,22,9,5677,Saturday,paid
363,2020-08-16,41,11,2495,328,184,18,11,5707,Sunday,organic
364,2020-08-17,42,9,1612,205,100,19,11,5740,Monday,organic
365,2020-08-18,38,9,1707,178,99,16,9,5769,Tuesday,paid
366,2020-08-19,41,9,1626,182,99,20,9,5801,Wednesday,paid
367,2020-08-20,40,10,1348,200,92,20,9,5831,Thursday,organic
368,2020-08-21,40,9,1622,153,98,19,9,5862,Friday,organic
369,2020-08-22,37,9,2455,349,165,19,9,5890,Saturday,paid
370,2020-08-23,40,11,2692,313,150,19,10,5919,Sunday,organic
371,2020-08-24,42,11,1570,225,92,21,10,5950,Monday,paid
372,2020-08-25,46,9,1972,169,91,20,10,5987,Tuesday,paid
373,2020-08-26,44,8,1366,227,96,20,11,6023,Wednesday,paid
374,2020-08-27,50,11,1911,247,101,20,11,6062,Thursday,paid
375,2020-08-28,38,9,1653,176,113,22,10,6091,Friday,organic
376,2020-08-29,44,10,2755,328,130,21,11,6125,Saturday,paid
377,2020-08-30,42,8,2558,306,147,20,9,6159,Sunday,paid
378,2020-08-31,50,11,1886,173,103,23,11,6198,Monday,organic
379,2020-09-01,38,8,1628,215,83,21,11,6228,Tuesday,paid
380,2020-09-02,38,10,1508,222,93,23,11,6256,Wednesday,organic
381,2020-09-03,39,10,1937,193,95,21,10,6285,Thursday,organic
382,2020-09-04,33,9,1677,230,94,16,9,6309,Friday,organic
383,2020-09-05,39,9,2604,258,157,23,8,6339,Saturday,organic
384,2020-09-06,39,11,2864,264,151,20,10,6367,Sunday,paid
385,2020-09-07,42,10,1526,211,98,20,11,6399,Monday,organic
386,2020-09-08,43,11,1804,209,108,21,10,6431,Tuesday,paid
387,2020-09-09,50,12,1604,194,122,20,11,6469,Wednesday,organic
388,2020-09-10,46,8,1683,227,121,21,11,6507,Thursday,organic
389,2020-09-11,40,12,1721,221,84,19,10,6535,Friday,paid
390,2020-09-12,39,10,2180,343,166,23,11,6564,Saturday,paid
391,2020-09-13,45,9,2368,313,154,20,7,6600,Sunday,paid
392,2020-09-14,37,9,1946,225,107,20,9,6628,Monday,paid
393,2020-09-15,51,10,1869,203,101,19,9,6669,Tuesday,paid
394,2020-09-16,48,11,1708,257,107,21,9,6706,Wednesday,paid
395,2020-09-17,41,10,1764,196,108,21,11,6737,Thursday,paid
396,2020-09-18,36,12,1673,259,100,22,10,6761,Friday,organic
397,2020-09-19,49,9,2942,322,145,19,11,6801,Saturday,organic
398,2020-09-20,43,10,2544,277,153,18,11,6834,Sunday,paid
399,2020-09-21,49,9,1774,245,110,22,9,6874,Monday,paid
400,2020-09-22,36,11,1935,219,114,24,9,6899,Tuesday,paid
401,2020-09-23,41,11,1604,235,117,19,11,6929,Wednesday,organic
402,2020-09-24,44,10,2015,244,103,25,10,6963,Thursday,paid
